consumer_num,connected_load (watts),total_energy_billed (kWh)
21201,1700,78.92
13162,3430,129.58
24124,713,0.92
9757,160,170.5
12613,1000,568.17
3518,150,272.58
21795,2980,128.33
15928,1850,110.42
22886,3975,296.25
23809,4033,142.67
14943,220,252.83
11668,450,142.83
13847,3223,166.42
18803,100,70.92
314,150,511.5
16018,100,145.5
1355,1000,52.83
8597,1000,150.83
23100,4971,263.75
4495,1200,19.25
6271,150,97.17
11127,7780,526.83
3963,5000,0
26013,1850,16.83
24972,2555,202.58
16714,547,0
25117,2395,279.33
15793,440,132.25
3462,1000,96.17
7695,450,148.08
23261,460,104.83
9318,1620,310.08
18898,4990,221.92
4729,150,0
19373,180,169.58
21496,480,0.33
20119,300,251.67
22272,4475,262.58
5307,150,198.67
264,150,318.75
792,150,309.08
17168,2630,0.75
19635,1000,812.92
22700,5626,576.17
4749,150,307.25
16466,4000,317.33
21874,1440,15.75
25068,9900,597.33
25246,1100,17.5
8145,600,256.42
21338,1780,115.58
19707,1260,493.92
25168,940,18.67
5555,250,222.17
11514,150,158.67
22316,2620,1.67
14686,1020,0
694,940,0.17
24844,435,96.42
23594,3915,0
20274,200,211.75
25751,1660,7.42
3132,8045,339.17
1376,1000,7.58
16038,140,101.25
16347,600,284
183,150,26.83
25976,4251,18
1150,1000,546.83
24526,4686,227.08
18508,200,43.17
23103,1040,582.58
23078,4126,129.25
18014,1680,111.75
13412,280,23.58
5199,1773,134.17
23511,2335,11.25
4439,600,186.08
20516,200,0.5
8086,650,62.58
228,1000,17.33
15171,7047,190.58
23433,2713,89.67
19562,640,355.83
18018,460,162.92
16861,1000,78.42
4599,150,13
110,1000,307.42
10774,360,141.33
6891,450,0
2194,150,240.17
10629,740,8.25
7793,450,352.92
1769,150,279
12685,770,9.17
9742,480,120
20269,200,235.17
10195,2780,129.5
8297,150,171.42
23341,2696,283.42
14192,6740,394.25
12886,1000,179.83
12493,150,132.58
6058,150,0
8406,6635,195.75
24180,880,260.42
23863,6921,67.83
21788,4640,172.33
11577,1000,30.58
11820,1000,62.08
7139,250,188.25
12154,150,323
11642,450,183.42
4613,150,292
5974,600,53.83
10778,1640,122.58
20908,1580,313.42
25009,240,9.42
22812,780,0
5300,150,494.5
11271,150,209.92
21487,900,192.42
153,150,635.25
24454,5740,568.5
5745,860,0
15642,440,218.17
361,1070,175.67
13090,140,17
4478,1000,0
7385,1000,7.08
24225,12000,162.83
527,150,13
18086,12860,7037.83
2158,150,240.33
14824,9600,901.33
25530,4706,159.25
21058,150,358
21065,760,268.83
16980,2000,30.83
12725,150,63.08
20639,300,37.42
1809,150,206
11980,450,251.08
5980,4500,195.42
4943,900,161.83
6682,11000,727
23490,820,140.5
1012,150,165.42
12622,420,0
12135,450,243.42
9151,100,306.58
2891,1500,24.33
26220,4158,65.17
11819,450,194.67
21937,100,248.42
9232,580,299.67
18019,2160,74
10610,7020,143.67
20442,150,97.08
13841,240,232.33
2052,8526,175.67
23980,760,77.5
13072,140,109.75
14930,570,202.5
23944,4893,241.42
9179,18350,989.67
1599,150,333.92
1954,150,500.08
25132,3115,273.25
1365,1000,378.08
20392,200,21.25
6927,250,533.25
16943,360,609.33
17850,320,74.92
20135,300,29.92
9405,380,152.5
1285,1000,49
11617,410,215.75
13238,580,125.92
16136,150,199.83
